,area,centroid,mean_intensity,perimeter,row,column,circularity
1112,293,"(1240.2491467576792, 1229.0716723549488)",0.5735796024894599,60.87005768508881,24,23,0.9937337907137459
1113,438,"(1242.5890410958905, 1973.5913242009133)",0.5782702121944667,75.59797974644667,24,37,0.9630827298123295
1114,278,"(1240.4028776978416, 961.9424460431654)",0.573395401325998,58.87005768508881,24,18,1.0080120811404396
1115,335,"(1242.0029850746268, 1813.4686567164179)",0.568580626280363,66.76955262170047,24,34,0.9442733620418516
1116,467,"(1243.5824411134904, 2240.813704496788)",0.586051979678381,78.18376618407356,24,42,0.9600493781643059
1117,594,"(1245.0420875420875, 2453.0488215488217)",0.6009770911731697,87.59797974644667,24,46,0.9727654304732883
1118,277,"(1241.4584837545126, 1759.9927797833934)",0.5749416011892121,58.8700576850888,24,33,1.0043861384025246
1119,403,"(1243.4416873449131, 2187.2679900744415)",0.5852965503819394,72.52691193458118,24,41,0.9627566728830143
1120,368,"(1245.1304347826087, 2400.1875)",0.5843350383631714,68.52691193458118,24,45,0.984771247321779
1121,1061,"(1296.0, 53.33930254476908)",0.6136792888691763,119.9827560572969,25,1,0.9261633275140227
1122,794,"(1292.816120906801, 1068.4357682619648)",0.5698325677878204,102.08326112068524,25,20,0.9574614465992175
1123,712,"(1292.7092696629213, 1281.3412921348315)",0.6136098259528531,96.66904755831214,25,24,0.9574475193918535
1124,697,"(1292.7718794835007, 1334.6542324246773)",0.5945593158353729,96.08326112068524,25,25,0.9487399149985289
1125,637,"(1292.6671899529042, 694.1883830455259)",0.6112845138055222,91.84062043356595,25,13,0.9490294257507796
1126,651,"(1292.700460829493, 907.8801843317972)",0.6128851540616247,92.42640687119284,25,17,0.957632138535665
1127,691,"(1292.971056439942, 961.3531114327062)",0.5970999687863568,95.25483399593904,25,18,0.9570042410515487
1128,604,"(1292.5579470198675, 1014.7301324503311)",0.5699909102713933,89.84062043356595,25,19,0.9403755258822866
1129,657,"(1292.6438356164383, 1121.7914764079148)",0.5898588354672158,92.42640687119285,25,21,0.9664582411949797
1130,670,"(1292.7238805970148, 1440.9746268656716)",0.5939303482587066,93.84062043356595,25,27,0.9560991360459923
1131,679,"(1293.0029455081, 1546.6509572901325)",0.5942995755003032,95.25483399593904,25,29,0.9403847752156318
1132,644,"(1292.9968944099378, 1600.0916149068323)",0.5852758494702228,93.25483399593904,25,30,0.9305785220812816
1133,684,"(1293.640350877193, 1759.7309941520468)",0.5991572067423462,95.49747468305833,25,33,0.9425018060168067
1134,616,"(1293.077922077922, 480.8279220779221)",0.606786350903998,89.84062043356595,25,9,0.9590584833501465
1135,542,"(1293.1217712177122, 534.1918819188191)",0.6063526517618117,85.25483399593904,25,10,0.9370680366450154
1136,536,"(1292.6305970149253, 1175.1175373134329)",0.5966271583260169,85.01219330881976,25,22,0.9319920580407093
1137,581,"(1292.7418244406197, 1388.0688468158348)",0.5692619216361243,87.59797974644665,25,26,0.9514759513551864
1138,574,"(1293.2142857142858, 1493.98606271777)",0.6047072487531598,86.42640687119285,25,28,0.9656702249395526
1139,1140,"(1298.0850877192981, 2560.157894736842)",0.6113691090471276,122.8111831820431,25,48,0.9498146950169681
1140,736,"(1295.6467391304348, 107.5625)",0.6158141517476556,98.08326112068522,25,2,0.9613862008862506
1141,647,"(1294.5672333848531, 214.11746522411127)",0.601642573567294,91.84062043356595,25,4,0.9639278468771655
1142,579,"(1294.0777202072538, 267.3816925734024)",0.6012530055199973,87.84062043356595,25,5,0.9429694840435151
1143,487,"(1292.899383983573, 747.82340862423)",0.5928010629303054,79.59797974644665,25,14,0.9659057132495057
1144,446,"(1292.1322869955156, 801.0941704035874)",0.5893959377472963,76.76955262170047,25,15,0.9509697518431229
1145,520,"(1293.2326923076923, 1228.3557692307693)",0.6042458521870286,82.18376618407356,25,23,0.9674780678582243
1146,662,"(1294.6253776435046, 1973.5906344410876)",0.6021858894615248,93.25483399593904,25,37,0.9565884807729945
1147,513,"(1293.6783625730993, 374.3606237816764)",0.5781217750257998,82.18376618407356,25,7,0.9544543246370559
1148,508,"(1293.708661417323, 1653.3661417322835)",0.596279141577891,81.59797974644665,25,31,0.9587707222051791
1149,487,"(1293.3141683778233, 1706.8624229979466)",0.5951282360993677,79.59797974644665,25,32,0.9659057132495057
1150,506,"(1294.4328063241107, 1920.4367588932807)",0.5895295667674184,81.84062043356595,25,36,0.9493416932329508
1151,510,"(1294.6235294117646, 2026.9039215686275)",0.5825682429834678,81.59797974644667,25,38,0.9625454100878762
1152,593,"(1294.7470489038785, 2080.273187183811)",0.5848097080316106,87.84062043356595,25,39,0.9657701278718557
1153,666,"(1295.7807807807808, 2187.39039039039)",0.6001648707531061,94.08326112068524,25,41,0.9454952864569347
1154,668,"(1296.374251497006, 2293.72754491018)",0.6098567570740872,93.25483399593904,25,43,0.9652584670035654
1155,807,"(1297.1251548946716, 2400.2391573729865)",0.6050829749495833,103.49747468305833,25,45,0.9467251017671043
1156,646,"(1296.1176470588234, 161.5433436532508)",0.608899411157652,92.66904755831214,25,3,0.9453072379696846
1157,385,"(1293.1324675324674, 428.32207792207794)",0.5873694932518462,71.35533905932738,25,8,0.9502057306302856
1158,250,"(1291.88, 588.088)",0.5724705882352942,56.2842712474619,25,11,0.9916896439933321
1159,323,"(1292.9504643962848, 641.3900928792569)",0.5910034602076125,65.11269837220809,25,12,0.9573726119236072
1160,363,"(1293.159779614325, 855.1294765840221)",0.5875222816399287,69.94112549695427,25,16,0.9325051856880754
1161,489,"(1294.3333333333333, 1813.3128834355828)",0.5894221901439513,80.18376618407356,25,34,0.9557533330862084
1162,781,"(1297.9129321382843, 2506.458386683739)",0.6102482990635435,101.49747468305833,25,47,0.9526874060308443
1163,333,"(1294.5555555555557, 1866.7357357357357)",0.5777424483306836,65.11269837220809,25,35,0.9870126308686105
1164,415,"(1295.5180722891566, 2134.021686746988)",0.5874698795180723,72.52691193458118,25,40,0.9914243653758088
1165,531,"(1297.1073446327684, 2346.7118644067796)",0.5982275396034119,83.59797974644665,25,44,0.9548009018625825
1166,235,"(1293.7489361702128, 321.27659574468083)",0.5587984981226531,54.8700576850888,25,6,0.980859703273495
1167,401,"(1296.635910224439, 2240.6533665835414)",0.5935455478949684,71.94112549695429,25,42,0.9736430782893377
1168,307,"(1297.5765472312703, 2452.885993485342)",0.5849396436098869,63.112698372208094,25,46,0.9685337121604027
1169,1113,"(1348.3935309973047, 53.277628032345014)",0.6189031587477758,122.56854249492379,26,1,0.9309942201804405
1170,855,"(1345.5181286549707, 374.0409356725146)",0.5994633642930857,106.08326112068522,26,7,0.9547337051121343
1171,652,"(1344.7223926380368, 800.9831288343559)",0.5842656080837244,92.42640687119285,26,15,0.9591031556455505
1172,575,"(1344.5565217391304, 854.6260869565217)",0.5999590792838875,88.42640687119284,26,16,0.9240888972444402
1173,632,"(1344.882911392405, 961.1566455696203)",0.6025316455696202,91.25483399593904,26,18,0.9537074682618429
1174,668,"(1345.124251497006, 1121.5404191616767)",0.5940295878830574,94.66904755831213,26,21,0.9366348457808892
1175,699,"(1345.107296137339, 1174.743919885551)",0.6098347779741367,95.84062043356595,26,22,0.9562860198179217
1176,1299,"(1350.5558121632025, 2506.6674364896076)",0.6006400096605232,133.0538238691624,26,47,0.922070853684353
